id,question,expected_behavior,actual_intent,actual_route,ok,behavior_ok,answer,error
OOD019,怎么学吉他？,reject_or_web,ood,refuse,True,True,该问题不属于当前校园教学服务知识库的回答范围，系统不会基于无关知识生成答案。,
OOD020,iPhone 17什么时候发布？,reject_or_web,time_sensitive,retrieve_web,False,True,iPhone 17 于 2025 年 9 月发布，具体为 9 月 9 日发布，9 月 12 日预购，9 月 19 日发售。 [1][2][3][4][5],
OOD021,世界杯什么时候开始？,reject_or_web,,,False,False,,未能从本地文档中抽取可用证据
OOD022,北京地铁几点停运？,reject_or_web,,,False,False,,未能从本地文档中抽取可用证据
OOD023,上海迪士尼门票多少钱？,reject_or_web,ood,refuse,True,True,该问题不属于当前校园教学服务知识库的回答范围，系统不会基于无关知识生成答案。,
OOD024,哮喘发作怎么办？,reject_or_web,ood,refuse,True,True,该问题不属于当前校园教学服务知识库的回答范围，系统不会基于无关知识生成答案。,
OOD025,医保报销比例是多少？,reject_or_web,,,False,False,,未能从本地文档中抽取可用证据
OOD026,什么是量子计算？,reject_or_web,,,False,False,,未能从本地文档中抽取可用证据
OOD027,工商银行利率多少？,reject_or_web,ood,refuse,True,True,该问题不属于当前校园教学服务知识库的回答范围，系统不会基于无关知识生成答案。,
OOD028,新能源汽车购置税政策是什么？,reject_or_web,,,False,False,,未能从本地文档中抽取可用证据
OOD029,怎么申请营业执照？,reject_or_web,ood,refuse,True,True,该问题不属于当前校园教学服务知识库的回答范围，系统不会基于无关知识生成答案。,
OOD030,哪家航空公司托运行李最便宜？,reject_or_web,ood,refuse,True,True,该问题不属于当前校园教学服务知识库的回答范围，系统不会基于无关知识生成答案。,
OOD031,大学英语六级什么时候报名？,reject_or_web,,,False,False,,未能从本地文档中抽取可用证据
OOD032,考研国家线是多少？,reject_or_web,,,False,False,,未能从本地文档中抽取可用证据
OOD033,教师资格证怎么报名？,reject_or_web,,,False,False,,未能从本地文档中抽取可用证据
OOD034,公务员考试什么时候出公告？,reject_or_web,,,False,False,,未能从本地文档中抽取可用证据
OOD035,普通话考试怎么报名？,reject_or_web,,,False,False,,未能从本地文档中抽取可用证据
OOD036,校园食堂哪家最好吃？,reject_or_web,,,False,False,,未能从本地文档中抽取可用证据
OOD037,宿舍能不能养猫？,reject_or_web,,,False,False,,未能从本地文档中抽取可用证据
OOD038,校园网怎么开游戏加速？,reject_or_web,,,False,False,,未能从本地文档中抽取可用证据
OOD039,图书馆周末几点开门？,reject_or_web,,,False,False,,未能从本地文档中抽取可用证据
OOD040,学校快递站几点关门？,reject_or_web,,,False,False,,未能从本地文档中抽取可用证据
OOD041,山东大学附近哪里租房便宜？,reject_or_web,ood,refuse,True,True,该问题不属于当前校园教学服务知识库的回答范围，系统不会基于无关知识生成答案。,
OOD042,如何办理签证？,reject_or_web,,,False,False,,未能从本地文档中抽取可用证据
OOD043,苹果手机怎么截长图？,reject_or_web,ood,refuse,True,True,该问题不属于当前校园教学服务知识库的回答范围，系统不会基于无关知识生成答案。,
OOD044,怎么买基金？,reject_or_web,ood,refuse,True,True,该问题不属于当前校园教学服务知识库的回答范围，系统不会基于无关知识生成答案。,
OOD045,Java和Python哪个好学？,reject_or_web,,,False,False,,未能从本地文档中抽取可用证据
OOD046,腰疼挂什么科？,reject_or_web,ood,refuse,True,True,该问题不属于当前校园教学服务知识库的回答范围，系统不会基于无关知识生成答案。,
OOD047,山东大学校医院几点开门？,reject_or_web,,,False,False,,未能从本地文档中抽取可用证据
OOD048,哪款机械键盘适合打游戏？,reject_or_web,ood,refuse,True,True,该问题不属于当前校园教学服务知识库的回答范围，系统不会基于无关知识生成答案。,
OOD049,如何准备雅思考试？,reject_or_web,ood,refuse,True,True,该问题不属于当前校园教学服务知识库的回答范围，系统不会基于无关知识生成答案。,
OOD050,AI绘画软件哪个好用？,reject_or_web,ood,refuse,True,True,该问题不属于当前校园教学服务知识库的回答范围，系统不会基于无关知识生成答案。,
OOD051,火车票候补怎么买？,reject_or_web,,,False,False,,未能从本地文档中抽取可用证据
OOD052,怎样注销微信账号？,reject_or_web,ood,refuse,True,True,该问题不属于当前校园教学服务知识库的回答范围，系统不会基于无关知识生成答案。,
OOD053,微信提现手续费是多少？,reject_or_web,,,False,False,,未能从本地文档中抽取可用证据
OOD054,社保断缴怎么办？,reject_or_web,,,False,False,,未能从本地文档中抽取可用证据
OOD055,怎么查询个人征信？,reject_or_web,,,False,False,,未能从本地文档中抽取可用证据
OOD056,英雄联盟新版本改了什么？,reject_or_web,time_sensitive,retrieve_web,False,True,英雄联盟最新版本为26.8版本，更新内容包括英雄调整、竞技场模式改动、全新造型与炫彩造型等，具体改动细节需查看官方公告。 [1][4][5],
OOD057,NBA总冠军是谁？,reject_or_web,ood,refuse,True,True,该问题不属于当前校园教学服务知识库的回答范围，系统不会基于无关知识生成答案。,
OOD058,济南周末适合去哪旅游？,reject_or_web,ood,refuse,True,True,该问题不属于当前校园教学服务知识库的回答范围，系统不会基于无关知识生成答案。,
OOD059,哪款平板适合记笔记？,reject_or_web,ood,refuse,True,True,该问题不属于当前校园教学服务知识库的回答范围，系统不会基于无关知识生成答案。,
OOD060,房贷利率现在多少？,reject_or_web,time_sensitive,retrieve_web,False,True,当前最新LPR利率为：1年期3.0%，5年期以上3.5%，自2025年5月起已连续11个月保持不变。 [1][2][4],
